Year,Position,Team_Name,Bed Number,Category,Time
2013,50,Harrogate Rugby Lucky 13s,,,19:01
2013,51,Proctor and Gamble Team 1,,,19:08
2013,52,AA Office Furniture,,,19:08
2013,53,Nidd Valley Ladies,,,19:09
2013,54,Lido Loonies,,,19:16
2013,55,Dazzling Bobbies,,,19:31
2013,56,Bed Hot Chilli Peppers,,,19:35
2013,57,Team Avacta,,,19:36
2013,58,Orion,,,19:42
2013,59,Acomb Fire Station,,,19:45
2013,60,MHS Army,,,19:54
2013,61,Harrogate and District Round Table (Brindles Boys),,,20:03
2013,62,The Charvers,,,20:07
2013,63,George and Dragon,,,20:09
2013,64,Humberston Lions Club,,,20:16
2013,65,Banyoles Dragon,,,20:17
2013,66,First Scriven Scouts,,,20:24
2013,67,Nuffield,,,20:24
2013,68,St John's PTA Team,,,20:24
2013,69,St Michael's Hospice,,,20:30
2013,70,Piccadilly Fillers,,,20:31
2013,71,Welly Wheeners,,,20:36
2013,72,Vital Statistics,,,20:37
2013,73,Belzona Bullets,,,20:45
2013,74,Knaresborough Celtic Girls,,,21:02
2013,75,Skylarks,,,21:02
2013,76,Meadowside Maidens,,,21:17
2013,77,Oatlands Infants Ladies,,,21:30
2013,78,Team Buddy,,,21:33
2013,79,Scrummy Mummies,,,21:53
2013,80,St John's Jewels,,,22:02
2013,81,Red and Blue Runners,,,22:06
2013,82,Scotton Lingerfield Ladies,,,22:09
2013,83,Charlie's Angels,,,22:23
2013,84,Team Bojangles,,,22:24
2013,85,Churches Together Ladies,,,22:31
2013,86,Lexy's Midnight Runners,,,22:42
2013,87,Avalon Athletes,,,22:51
2013,88,Knaresborough Pool,,,23:49
2013,89,Team Red Beer,,,23:53
2013,90,Proctor and Gamble Team 2 The Grads,,,23:55
2013,91,Flangetastic,,,24:14
2012,1,Ripon Runners,,,14:43
2012,2,Nidd Valley Men,,,15:02
2012,3,Guardian Alarms,,,15:21
2012,4,Harrogate Harriers,,,15:26
2012,5,The Rocket Men,,,15:31
2012,6,Planet Steel,,,15:45
2012,7,The Welly Wheelers,,,15:46
2012,8,G H Brooks,,,15:58
2012,9,Shamrock Vets,,,16:18
2012,10,Globe Street Trotters,,,16:31
2012,11,Armed Forces fitness,,,16:51
2012,12,Piccadilly Men,,,16:54
2012,13,Magnificent Seven,,,16:59
2012,14,Young Life,,,17:06
2012,15,Ripon Runners Girls,,,17:19
2012,16,HPL Flyers,,,17:24
2012,17,Castle Clinic,,,17:39
2012,18,Nidd Valley Road Runners Men's B,,,17:53
2012,19,Weeton Pirates,,,18:01
2012,20,Meadowside Malingerers,,,18:04
2012,21,The Design Academy,,,18:45
2012,22,Stewart's Tartan Army,,,18:53
2012,23,The Younger Ones,,,19:33
2012,24,Harrogate Young Life Juniors,,,20:01
2012,25,Lock Stock & Six Floating Barrels,,,20:23
2012,26,Harrogate Racers for AD Holdings,,,20:23
2012,27,Proctor & Gamble Bed 2,,,20:49
2012,28,New Bebra Beavers,,,20:55
2012,29,Piccadilly Plodders,,,20:57
2012,30,Six Pack,,,21:13
2012,31,Killer Queens Nippers Men,,,21:29
2012,32,St John's Juggernauts,,,21:48
2012,33,Bobby Dazzlers,,,21:52
2012,34,The Fat & Furious 6,,,22:01
2012,35,Belzona Bullets,,,22:15
2012,36,Scotton Scorchers,,,22:16
2012,37,7 Peas in a Pod,,,22:17
2012,38,Knaresborough Rugby Union FC,,,22:19
2012,39,The Sweet Chariot,,,22:27
2012,40,Paperworks/Round Table,,,22:36
2012,41,HACS Amphetamine Queens,,,22:59
2012,42,1st Knaresborough (Castle) Scouts),,,23:09
2012,43,Green-tech Gladiators,,,23:12
2012,44,Wetherby Runners AC,,,23:17
2012,45,Nidd United,,,23:43
2012,46,Lido Loonies,,,25:08
2012,47,Team Buddy,,,25:14
2012,48,Harrogate Audi,,,25:45
2012,49,Knaresborough Silver Band,,,25:58
2012,50,BNL Smooth Operators,,,26:37
2012,51,Turner's Tearaways,,,26:59
2012,52,Belzona Bed Boys,,,27:42
2012,53,Welly Wheelettes,,,28:08
2012,54,Head Start for Someone Else,,,28:41
2012,55,West End Bankers,,,28:54
2012,56,Nidd Valley Ladies,,,28:56
2012,57,Skylarks,,,28:59
2012,58,Commercial Estates Group,,,28:59
2012,59,Proctor and Gamble Bed 1,,,29:31
2012,60,The Flying Mechanics,,,29:57
2012,61,Lexy's Midnight Runners,,,30:33
2012,62,Piccadilly Phillies,,,30:35
2012,63,Churches Together Knaresborough 2,,,30:53
2012,64,Team Avacta,,,32:17
2012,65,Menwith Hill Chapel,,,32:58
2012,66,Harrogate Ladies College,,,33:53
2012,67,SBU,,,34:12
2012,68,Oatlands Infants Ladies,,,34:39
2012,69,George and Dragon,,,35:26
2012,70,Knaresborough Celtic Girls,,,35:43
2012,71,Knaresborough Town AFC Juniors,,,35:49
2012,72,Vida Leaders,,,35:59
2012,73,Logic Fire and Security,,,36:40
2012,74,Humberston Lions Club,,,36:49
2012,75,St John's Jewels,,,38:41
2012,76,1st Scriven Scouts,,,40:04
2012,77,Meadowside Maidens,,,40:35
2012,78,High Street Bed Capers,,,40:38
2012,79,The 'A' Team,,,40:42
2012,80,Pulse Racers,,,41:01
2012,81,Scrummy Mummy's,,,42:14
2012,82,Churches Together Ladies,,,43:20
2012,83,Team Red Beer,,,43:52
2012,84,Blue Light Taxi's,,,45:02
2012,85,The Avalon Athletes,,,46:16
2012,86,Unlikely Lasses,,,46:58
2012,87,Ladies Mid Life Crisis,,,48:51
2012,88,The Flangetastics,,,48:14
2012,89,Harrogate Hornets,,,49:16
2012,90,Kippax Templars Bisons,,,50:51
2011,1,Harrogate Harriers,,,14:24
2011,2,Ripon Runners for HPL,,,14:26
2011,3,Guardian Alarms,,,15:19
2011,4,Lickley Lads aka Harrogate Young Life,,,15:27
2011,5,G H Brooks,,,15:40
2011,6,Nidd Valley Men,,,15:42
2011,7,Shamrock Vet Clinic,,,15:44
2011,8,Magnificent Seven,,,15:49
2011,9,The Welly Wheelers,,,15:55
2011,10,HPL Flyers,,,15:56
2011,11,Globe Street Trotters,,,15:59
2011,12,The Turbo Turtles,,,16:01
2011,13,The Dive Crew,,,16:17
2011,14,Meadowside Malingerers,,,16:40
2011,15,Harrogate Racers for AD Group Holdings,,,16:42
2011,16,The Rocket Men,,,17:09
2011,17,Belzona Bullets,,,17:13
2011,18,Piccadilly Men,,,17:15
2011,19,The Design Academy,,,17:16
2011,20,Stewarts Tartan Army,,,17:18
2011,21,Hair Bear Bunch,,,17:19
2011,22,Castle Clinic,,,17:23
2011,23,L Stock and Six Floating Barrels,,,17:35
2011,24,Cardio Racers,,,17:38
2011,25,The Younger Ones,,,17:41
2011,26,Ripon Runners Girls,,,17:47
2011,27,Piccadilly Plodders,,,17:53
2011,28,Harrogate Young Life Junior,,,17:54
2011,29,Weeton Pirates,,,18:07
2011,30,Bebra Oldies,,,18:08
2011,31,Nippers Men Killer Queens,,,18:14
2011,32,Proctor & Gamble Team 2,,,18:16
2011,33,Oatlands School – Men,,,18:18
2011,34,The HACS Historians,,,18:18
2011,35,Rugby Runners,,,18:23
2011,36,1st Knaresborough Scouts,,,18:25
2011,37,Scotton Scorchers,,,18:33
2011,38,Blind Jacks Explorer Scouts,,,18:36
2011,39,Proctor & Gamble Team 1,,,18:41
2011,40,Knaresborough Rugby Club,,,18:42
2011,41,7 Peas in a Pod,,,19:06
2011,42,Lido Loonies,,,19:09
2011,43,Nidd Valley Ladies,,,19:15
2011,44,Turner's Tearaways,,,19:19
2011,45,Paperworks / Harrogate Round Table,,,19:19
2011,46,Harrogate Audi,,,19:28
2011,47,Bobby Dazzlers,,,19:34
2011,48,Churches Together in Knaresborough Bed 2,,,19:38
2011,49,Oatlands Ladies,,,19:42
2011,50,Iceni Magni,,,19:46
2011,51,Wetherby Runners – Ladies,,,20:01
2011,52,The Charvers,,,20:01
2011,53,The Bed Hot Chili Peppers,,,20:08
2011,54,Simon Graeme Auto Service Centre,,,20:15
2011,55,Welly Wheelettes,,,20:16
2011,56,Harrogate Fire Station,,,20:18
2011,57,Logic Fire & Security,,,20:18
2011,58,Sons of Liberty,,,20:23
2011,59,Knaresborough Silver Band,,,20:38
2011,60,Meadowside Maidens,,,20:57
2011,61,Piccadilly Fillies,,,20:58
2011,62,Knaresborough First Responders,,,20:59
2011,63,Broker Network Bounders,,,21:05
2011,64,Pure Collection,,,21:15
2011,65,Belzona Bed Boys,,,21:16
2011,66,Humberston Lions Club,,,21:43
2011,67,Zawadi,,,21:43
2011,68,2nd Knaresborough Rainbows,,,21:48
2011,69,St John's Jewels,,,21:51
2011,70,Tockwith Titans,,,21:52
2011,71,King James' Krushers,,,21:54
2011,72,Pure Collection 2,,,22:03
2011,73,SBU,,,22:07
2011,74,Ice Maidens,,,22:20
2011,75,Scrummie Mummies,,,22:21
2011,76,Team Red Beer,,,22:23
2011,77,High Speed Bed Caper,,,22:36
2011,78,Pulse Racers,,,22:44
2011,79,Aspin Angels,,,22:44
2011,80,Churches Together,,,22:52
2011,81,St Michaels Hospice,,,22:55
2011,82,Boudica Boudoir,,,22:56
2011,83,Skylarks,,,23:14
2011,84,1st Scriven Scouts,,,24:09
2011,85,Kids at Heart,,,24:39
2011,86,Dolls on the Run,,,24:57
2011,87,The Flangetastics,,,25:17
2011,88,HP Sauceys,,,25:41
2011,89,Gateways Flyers,,,26:44
2011,90,Always With A Smile,,,30:06
2010,1,Ripon Runners for HPL,,,13:56
2010,2,Harrogate Harriers,,,14:09
2010,3,Planet Steel,,,14:34
2010,4,Guardian Alarms,,,15:09
2010,5,Shamrock Vet Clinic,,,15:12
2010,6,Harrogate Racers,,,15:35
2010,7,Magnificent Seven,,,15:44
2010,8,Nidd Valley Men,,,15:46
2010,9,Bebra Beavers,,,15:48
2010,10,The Lickley Lads,,,15:51
2010,11,The Academy Group,,,15:55
2010,12,HPL Flyers,,,16:08
2010,13,Globe Street Trotters,,,16:15
2010,14,Meadowside Malingerers,,,16:33
2010,15,G H Brooks,,,16:36
2010,16,YourTrump.co.uk,,,16:37
2010,17,The Young Ones,,,16:38
2010,18,The Rocket Men,,,16:46
2010,19,Oatlands Infant School - Mens,,,16:46
2010,20,Weeton Pirates,,,17:02
2010,21,Scotton Scorchers,,,17:05
2010,22,Wetherby Runners,,,17:23
2010,23,Bobby Dazzlers,,,17:25
2010,24,Knaresborough Rugby Club,,,17:27
2010,25,Stewarts Tartan Army,,,17:28
2010,26,Daleside Brewery,,,17:37
2010,27,The Dive Crew,,,17:40
2010,28,Lock Stock & Six Floating Barrels,,,17:42
2010,29,Nippers Men Killer Queens,,,17:42
2010,30,St John's Juggernaughts,,,17:44
2010,31,The Welly Wheelers,,,17:47
2010,32,1st Scriven Scouts,,,17:50
2010,33,Cardio Racers,,,18:02
2010,34,Jet2 Jesters,,,18:03
2010,35,Ripon Runners Girls,,,18:11
2010,36,Go Commando,,,18:18
2010,37,Piccadilly Plodders,,,18:27
2010,38,The HACS Trolly Dollies,,,18:29
2010,39,Green-Tech Gladiators,,,18:51
2010,40,St Mary's Golden Girls,,,18:52
2010,41,Hair Bear Bunch,,,18:55
2010,42,Piccadilly Men,,,19:00
2010,43,2nd Knaresborough Rainbows,,,19:03
2010,44,Wetherby Runners Ladies,,,19:03
2010,45,Gillette Fusion 2,,,19:15
2010,46,The Younger Ones,,,19:16
2010,47,Nidd United,,,19:27
2010,48,7 Peas In A Pod,,,19:28
2010,49,The Cooperative,,,19:32
2010,50,Oatlands Infant School Ladies,,,19:38
2010,51,Team Gmund,,,19:42
2010,52,Wetherby Bulldogs Under 15's,,,19:45
2010,53,The Charvers,,,19:55
2010,54,Stavely Community Primary School,,,19:55
2010,55,Knaresborough Silver Band,,,20:07
2010,56,Turner's Tearaways,,,20:13
2010,57,Lexy's Midnight Runners,,,20:16
2010,58,Churches Together,,,20:33
2010,59,Belzona Bed Boys,,,20:37
2010,60,Paperworks,,,20:39
2010,61,Welly Wheelettes,,,20:44
2010,62,St John's Jewels,,,20:53
2010,63,Pulse Racers,,,21:02
2010,64,Lido Loonies,,,21:05
2010,65,Nidd Valley Ladies,,,21:08
2010,66,Gillette Fusion 1,,,21:14
2010,67,St Michaels Hospice,,,21:18
2010,68,How Clean Is Your Bed?,,,21:20
2010,69,Harrogate Fire Station,,,21:34
2010,70,Young Life Junior,,,21:35
2010,71,Aspin Angels,,,22:16
2010,72,Tockwith Titans,,,22:29
2010,73,Piccadilly Fillies,,,22:32
2010,74,Scrummie Mummies,,,22:45
2010,75,Go Navy,,,23:08
2009,1,Harrogate Harriers,,,12:59
2009,2,Ripon Runners Boys,,,13:18
2009,3,Guardian Alarms,,,14:04
2009,4,Planet Steel,,,14:08
2009,5,Piccadilly Men,,,14:17
2009,6,Harrogate Young Life,,,14:48
2009,7,Shamrock Vets,,,14:52
2009,8,Nidd Valley Runners,,,15:03
2009,9,HPL Flyers,,,15:06
2009,10,Harrogate Racers,,,15:13
2009,11,The Dive Crew,,,15:20
2009,12,The Academy,,,15:29
2009,13,The Young Ones,,,15:33
2009,14,The Marmoteers,,,15:36
2009,15,M.C.C.,,,15:40
2009,16,Wetherby Runners AC,,,15:45
2009,17,T&G Dream Team,,,15:50
2009,18,Meadowside Malingerers,,,15:54
2009,19,Bebra Beavers,,,15:56
2009,20,Knareborough Celtic Under 17s,,,16:02
2009,21,Tockwith Titans,,,16:09
2009,22,Lock Stock & Six Floating Barrels,,,16:28
2009,23,The Rocket Men,,,16:35
2009,24,Scotton Scorchers,,,16:50
2009,25,Cardio Racers,,,16:50
2009,26,Daleside Brewery,,,16:51
2009,27,Gillette Fusion North,,,16:58
2009,28,Sharks (Rekiny),,,16:58
2009,29,Wilkos Warriors,,,17:00
2009,30,Hair Bear Bunch,,,17:02
2009,31,Oatlands Infant School Mens,,,17:04
2009,32,Bobby Dazzlers,,,17:08
2009,33,Stewarts Tartan Army,,,17:08
2009,34,Nippers Men,,,17:11
2009,35,Ripley Racers,,,17:13
2009,36,Team Gmund,,,17:20
2009,37,Weeton Pirates,,,17:24
2009,38,Nidd Valley Ladies,,,17:28
2009,39,The Welly Wheelers,,,17:37
2009,40,Piccadilly Plodders,,,17:38
2009,41,St Mary's Golden Girls,,,17:39
2009,42,St John's Juggernauts,,,17:45
2009,43,1st Scriven Scouts,,,17:53
2009,44,Ripon Runners Girls,,,17:54
2009,45,JET2 Jesters,,,18:08
2009,46,Harrogate Audi,,,18:29
2009,47,2nd Knaresborough Rainbows,,,18:42
2009,48,Broker Network Bounders,,,18:52
2009,49,The Younger Ones,,,18:57
2009,50,North Eastern Autocare,,,19:02
2009,51,Wetherby Runners Ladies AC,,,19:07
2009,52,Welly Wheelettes,,,19:09
2009,53,Oatlands Infant School Ladies,,,19:23
2009,54,The Charvers,,,19:47
2009,55,Green-Tech Gladiators,,,19:54
2009,56,The Cooperative,,,19:57
2009,57,Piccadilly Fillies,,,20:08
2009,58,The HACS idents,,,20:11
2009,59,St John's Jewels,,,20:18
2009,60,Skylarks,,,20:24
2009,61,Pulse Racers,,,20:30
2009,62,Nidd Valley Girls,,,20:31
2009,63,Turners Tearaways,,,20:34
2009,64,Gillette Fusion South,,,20:41
2009,65,Lido Loonies,,,21:17
2009,66,Aspin Angels,,,21:19
2009,67,Churches Together Ladies,,,21:20
2009,68,St Michaels Hospice,,,21:34
2009,69,High Speed Bed Caper,,,21:37
2009,70,U.S.Navy,,,21:43
2009,71,Nuns on the Run,,,21:57
2009,72,Harrogate Young Life Junior,,,21:59
2009,73,Scrumi Mummis,,,22:08
2009,74,SBU,,,22:09
2009,75,Meadowside Maidens,,,22:11
2009,76,Aspin Devils,,,22:40
2009,77,Nippers Staff,,,23:08
2009,78,Foxettes,,,23:20
2009,79,Damsels in this dress,,,23:35
2009,80,Lexis Midnight Runners,,,23:52
2009,81,Rainbow Frizzles,,,23:53
2009,82,Ripon Mean Machine,,,23:57
2009,83,7 jolly doughnuts,,,24:07
2009,84,Team Red Beer,,,24:37
2009,85,The Bed Rockers,,,26:01
2009,86,Turkish Delights,,,27:01
2008,1,Ripon Runners Boys,,,14:15
2008,2,Harrogate Harriers,,,14:23
2008,3,Guardian Alarms,,,15:05
2008,4,Shamrock Vets,,,15:14
2008,5,Piccadilly Men,,,15:15
2008,6,Planet Steel,,,15:28
2008,7,Wetherby Runners,,,16:00
2008,8,HPL Flyers,,,16:00
2008,9,M.C.C.,,,16:13
2008,10,Scotton Garage,,,16:23
2008,11,The Young Ones,,,16:38
2008,12,Knaresborough Celtic Under 16s,,,17:10
2008,13,Harrogate Young Life,,,17:20
2008,14,The Dive Bureau,,,17:26
2008,15,Bebra Beavers,,,17:32
2008,16,Nippers Men,,,17:58
2008,17,Cardio Racers,,,18:00
2008,18,Weeton Pirates,,,18:01
2008,19,Team Gmund,,,18:07
2008,20,Argos Emperors,,,18:08
2008,21,The Marmoteers,,,18:20
2008,22,Oatlands Infant School Ladies,,,18:24
2008,23,Ripon Runners Girls,,,18:25
2008,24,St Mary's Golden Girls,,,18:26
2008,25,Speedy hire,,,18:30
2008,26,Oatlands Infant School Mens,,,18:43
2008,27,Piccadilly Plodders,,,18:49
2008,28,The Welly Wheelers,,,18:51
2008,29,Not Simon Wheeler,,,18:51
2008,30,Wetherby Runners Ladies,,,18:52
2008,31,The Old Geezers,,,18:52
2008,32,The Splitty A's,,,18:52
2008,33,Gillette Fusion North,,,18:54
2008,34,Bobby Dazzlers,,,19:08
2008,35,JET2 Jesters,,,19:18
2008,36,The Hair Bear Bunch,,,19:22
2008,37,Leeds City Council ICT Services,,,19:55
2008,38,Gillette Fusion South,,,20:16
2008,39,Welly Wheelettes,,,20:21
2008,40,Old Friends of Bebra,,,20:36
2008,41,2nd Knaresborough Rainbows,,,20:39
2008,42,Sharks (Rekiny),,,20:43
2008,43,The Cooperative,,,20:51
2008,44,Piccadilly Fillies,,,21:31
2008,45,Pulse Racers,,,21:49
2008,46,Lock Stock & 6 Floating Girls,,,22:05
2008,47,Daleside Brewery,,,22:09
2008,48,Market Town Taverns,,,22:16
2008,49,Meadowside Maidens,,,22:51
2008,50,High Speed Bed Caper,,,22:52
2008,51,St John's Jewels (Castle Cruisers),,,22:56
2008,52,Scotton Scorchers,,,23:19
2008,53,Aspin Devils,,,23:32
2008,54,Team Red Beer,,,23:41
2008,55,Nippers Staff Team,,,23:42
2008,56,Nuns on The Run,,,23:47
2008,57,Vodka Chasers,,,23:47
2008,58,Little Saints Strollers,,,24:04
2008,59,St Michaels,,,24:30
2008,60,Skylarks,,,24:30
2008,61,Churches Together Ladies,,,24:46
2008,62,North Eastern Autocare,,,25:25
2008,63,Rainbow Frizzels,,,25:25
2008,64,Cinnamon Crew,,,25:57
2008,65,Your Trump.co.uk,,,26:13
2008,66,Starbeck Mission,,,28:18
2008,67,Dayner's Dollies,,,33:29
2007,1,Harrogate Harriers,,,13:45
2007,2,Guardian Alarms,,,15:17
2007,3,Piccadilly Men,,,15:18
2007,4,Shamrock Vet Clinic,,,15:31
2007,5,The Harrogateers,,,15:50
2007,6,Wetherby Runners,,,16:01
2007,7,M.C.C.,,,16:38
2007,8,Nippers Men - Killer Queens,,,16:42
2007,9,Young Life,,,16:54
2007,10,Squashed Hearts,,,17:06
2007,11,The Academy Group,,,17:06
2007,12,The Young Ones,,,17:07
2007,13,Knaresborough Rugby Club,,,17:16
2007,14,Daleside Brewery,,,17:34
2007,15,Lock Stock & 6 Floating Barrels,,,17:38
2007,16,Team Gmund,,,17:46
2007,17,Scotton Scorchers J F C,,,17:48
2007,18,The Dive Bureau,,,17:52
2007,19,Knaresborough Celtic Under 15s,,,17:52
2007,20,Scotton Garage,,,17:54
2007,21,Castle Dentists,,,17:57
2007,22,Meadowside Malingerers,,,18:26
2007,23,Mel's Marauders,,,18:34
2007,24,St Mary's Golden Girls,,,18:37
2007,25,Piccadilly Plodders,,,18:38
2007,26,Weeton Pirates,,,18:43
2007,27,Ripon Runners Girls,,,18:51
2007,28,The Beefcakes,,,18:55
2007,29,Hewden Hire Centre,,,19:04
2007,30,The Orb Crew,,,19:09
2007,31,Friedrichroda,,,19:12
2007,32,The Welly Wheelers,,,19:22
2007,33,Hair Bear Bunch,,,19:29
2007,34,Ripley Racers,,,19:30
2007,35,JET2 Jesters,,,19:34
2007,36,The Northern Boys,,,19:35
2007,37,Oatlands Infant School,,,19:50
2007,38,Tarzans and Jane,,,20:24
2007,39,Piccadilly Fillies,,,20:38
2007,40,Shake ‘n’ Bake,,,20:44
2007,41,US Navy at Menwith Hill,,,21:03
2007,42,Knaresborough Churches Together,,,21:13
2007,43,Time Together,,,21:30
2007,44,Bed Busters,,,21:46
2007,45,Thee Fairytails,,,21:56
2007,46,The Bobby Dazzlers,,,22:10
2007,47,2nd Knaresborough Rainbows,,,22:15
2007,48,Aspin Angels,,,22:21
2007,49,The Coma-toes Cuties,,,22:30
2007,50,The Nuns on the Run,,,22:30
2007,51,United Co-op,,,22:56
2007,52,The Dive Bureau Ladies,,,23:32
2007,53,Little Saints Strollers,,,23:57
2007,54,Askham Bryan Boys,,,24:28
2007,55,Melmerby Monsters Youth Club,,,25:03
2007,56,SBU Ltd,,,25:16
2007,57,Meadowside Maidens,,,25:24
2007,58,Nippers Staff,,,25:32
2007,59,McQueen’s Cafe,,,25:40
2007,60,Aspin Devils,,,26:06
2007,61,Killer Rhinos,,,26:14
2007,63,Askham Bryan Girls,,,DNF
2006,1,Harrogate Harriers,,,14:05
2006,2,Nidd Valley Racers,,,15:18
2006,3,Young Life,,,15:51
2006,4,Shamrock Vet Clinic,,,15:53
2006,5,Piccadilly Men,,,15:55
2006,6,Guardian Alarms,,,16:17
2006,7,Link Running Club,,,16:21
2006,8,Squashed Hearts,,,16:46
2006,9,Young Ones,,,17:01
2006,10,Nippers - Boys,,,17:03
2006,11,Purple Circle,,,17:41
2006,12,The Beefcakes,,,18:02
2006,13,The Academy Group,,,18:03
2006,14,Meadowside Milingerers,,,18:24
2006,15,Piccadilly Plodders,,,18:34
2006,16,Team Gmund,,,18:41
2006,17,Bebra Beavers,,,18:44
2006,18,Hewden,,,18:49
2006,19,Nippers - Girls,,,18:56
2006,20,St. Mary's Golden Girls,,,18:56
2006,21,Daleside Brewery,,,19:10
2006,22,Hair Bear Bunch,,,19:23
2006,23,Welly Wheelers,,,19:25
2006,24,Leathernecks,,,19:47
2006,25,Nidd Valley Ladies,,,19:56
2006,26,Piccadilly Fillies,,,20:24
2006,27,Scotton Garage,,,20:42
2006,28,Spoonful of Sugar,,,20:49
2006,29,Northern Boys,,,21:12
2006,30,ORB Crew,,,21:13
2006,31,Scotton Scorchers,,,21:30
2006,32,MHS Contractors,,,21:32
2006,33,Navy Menwith,,,21:42
2006,34,Jet2 Jesters,,,21:46
2006,35,Knaresborough Churches Together,,,21:46
2006,36,Dive Bureau,,,21:50
2006,37,Aspin Angels,,,22:31
2006,38,Aaron's Gals,,,23:21
2006,39,Nuns on the Run,,,23:28
2006,40,Castle Cruisers,,,23:37
2006,41,Trinity Bed Club,,,23:52
2006,42,Bernadette's Heroes,,,24:58
2006,43,Cancer Research UK,,,25:17
2006,44,The Brownie Bunch,,,25:39
2006,45,Aspin Devils,,,25:45
2006,46,Meadowside Maidens,,,27:46
2006,47,The Pink Ladies,,,28:28
2006,48,The Monkey Butlers,,,32:25
2006,1,Harrogate Harriers,,,14:05
2006,2,Nidd Valley Racers,,,15:18
2006,3,Young Life,,,15:51
2006,4,Shamrock Vet Clinic,,,15:53
2006,5,Piccadilly Men,,,15:55
2006,6,Guardian Alarms,,,16:17
2006,7,Link Running Club,,,16:21
2006,8,Squashed Hearts,,,16:46
2006,9,Young Ones,,,17:01
2006,10,Nippers - Boys,,,17:03
2006,11,Purple Circle,,,17:41
2006,12,The Beefcakes,,,18:02
2006,13,The Academy Group,,,18:03
2006,14,Meadowside Milingerers,,,18:24
2006,15,Piccadilly Plodders,,,18:34
2006,16,Team Gmund,,,18:41
2006,17,Bebra Beavers,,,18:44
2006,18,Hewden,,,18:49
2006,19,Nippers - Girls,,,18:56
2006,20,St. Mary's Golden Girls,,,18:56
2006,21,Daleside Brewery,,,19:10
2006,22,Hair Bear Bunch,,,19:23
2006,23,Welly Wheelers,,,19:25
2006,24,Leathernecks,,,19:47
2006,25,Nidd Valley Ladies,,,19:56
2006,26,Piccadilly Fillies,,,20:24
2006,27,Scotton Garage,,,20:42
2006,28,Spoonful of Sugar,,,20:49
2006,29,Northern Boys,,,21:12
2006,30,ORB Crew,,,21:13
2006,31,Scotton Scorchers,,,21:30
2006,32,MHS Contractors,,,21:32
2006,33,Navy Menwith,,,21:42
2006,34,Jet2 Jesters,,,21:46
2006,35,Knaresborough Churches Together,,,21:46
2006,36,Dive Bureau,,,21:50
2006,37,Aspin Angels,,,22:31
2006,38,Aaron's Gals,,,23:21
2006,39,Nuns on the Run,,,23:28
2006,40,Castle Cruisers,,,23:37
2006,41,Trinity Bed Club,,,23:52
2006,42,Bernadette's Heroes,,,24:58
2006,43,Cancer Research UK,,,25:17
2006,44,The Brownie Bunch,,,25:39
2006,45,Aspin Devils,,,25:45
2006,46,Meadowside Maidens,,,27:46
2006,47,The Pink Ladies,,,28:28
2006,48,The Monkey Butlers,,,32:25
2005,1,Harrogate Harriers,,,14:05
2005,2,Bebra Powermen,,,14:54
2005,3,Nidd Valley Racers,,,15:17
2005,4,Guardian Alarms,,,15:31
2005,5,Celtic Warriors,,,15:36
2005,6,Colors,,,15:44
2005,7,Squashed Hearts,,,16:07
2005,8,Link Interchange,,,16:14
2005,9,Shamrock Vet. Clinic,,,16:16
2005,10,Nippers - Boys,,,16:42
2005,11,Tax Dodgers,,,16:49
2005,12,Piccadilly Men,,,17:11
2005,13,Young Life,,,17:13
2005,14,Bebra Beavers,,,17:16
2005,14,Young Ones,,,17:16
2005,15,BEKS Boys,,,17:36
2005,16,Daleside Brewery,,,17:37
2005,17,Piccadilly Plodders,,,18:08
2005,17,The Beefcakes,,,18:08
2005,18,Hair Bear Bunch,,,18:10
2005,19,Meadowside Malingerers,,,18:25
2005,20,SBU Ltd ( male team ),,,18:30
2005,21,The Nifty Six,,,18:56
2005,22,St Marys Golden Girls,,,19:07
2005,23,Ripon Divers,,,19:14
2005,24,Welly Wheelers,,,19:17
2005,25,The Academy,,,19:21
2005,26,Nidd Valley Ladies,,,19:28
2005,27,Nippers- Girls,,,20:18
2005,27,Piccadilly Ladies,,,20:18
2005,28,Aspin Angels,,,20:41
2005,29,Rudding Park,,,20:48
2005,30,Moores Furniture Group Ltd,,,20:50
2005,31,The Stella Tops,,,20:56
2005,32,Knaresborough Rugby Club,,,21:09
2005,33,Navy at MHS,,,21:40
2005,34,Scotton Garage,,,21:44
2005,35,Castle Cruisers,,,21:54
2005,36,Hewden,,,21:58
2005,37,The Doug Haigh Appreciation Society,,,22:00
2005,38,Bebra Ladies,,,22:26
2005,39,The Hairy Ladies,,,23:12
2005,40,Aspin Devils,,,23:13
2005,41,SBU ( ladies team ),,,23:16
2005,42,Feathered Fancies,,,23:42
2005,43,Meadowside Maidens,,,24:28
2005,44,Knaresborough Churches Together,,,24:57
2005,45,Six Pack with Nuts,,,25:17
2005,46,Pink Pumas,,,25:18
2005,47,The Travelling Ladies,,,25:30
2005,48,Kids at Heart,,,25:53
2005,49,Melmerby Youth Club,,,26:50
2005,50,Knaresborough Celtic Ladies,,,27:33
2005,51,Suck It Up,,,32:01
2004,1,HARROGATE HARRIERS,,,13:57
2004,2,SQUASHED BALLS,,,14:18
2004,3,GUARDIAN ALARMS,,,15:44
2004,4,ABBSON STAINLESS,,,15:45
2004,5,CELTIC WARRIORS,,,16:10
2004,6,LOCK STOCK AND SIX FLOATING BARRELS,,,16:13
2004,7,WACKY RACERS,,,16:19
